text,labels
Nah  I dont have time  go get Grolsch the day after tomorrow .,2
Let's  on Monday    ?,2
What place 4 year early see Seven   ?,1
How about   go Tulsa defer  six  week  ?,0
go where go buy Brahma go Glendale one day earlier.  ?,1
Nah   I'll be out of town. 9  week early   .,1
k  tomorrow go buy Coca Cola .,2
What day should we meet go get Absolut  to advance  two day  ?,1
What day should we meet go Wien  on Sunday  ?,2
what time   twelve year ahead. go buy Sweets  ?,1
That's right Koalapop on Tuesday go Nashville .,2
what day on Saturday go buy Strongbow go Scottsdale  ?,2
Are you free   on Monday   ?,2
Shall we go Tulsa  three year before. go get Grolsch  ?,1
What place 5  week prior.    ?,1
Where should on Monday Bel Group   ?,2
Yep go buy Brahma go Glendale one day earlier. .,1
What place   suspend 10  week  ?,0
Let us go buy Cosmetics  three  week ahead.   ?,1
exactly  on Wednesday  .,2
When  go Salt Lake City on Tuesday   ?,2
Sorry I can't.  LEonidas the day after tomorrow  .,2
no I'm busy.  Moutai go Fort Lauderdale the day after tomorrow .,2
Would you go get Six Deuce  7 day earlier.  ?,1
Where we  4  week in advance.   ?,1
Where should Bel Group 1 month advance. go Oakland  ?,1
of course Evian on Saturday go London .,2
Shall we one day prior.    ?,1
You free  go San Diego  six day early DKNY  ?,1
Where do you want  Flowers on Monday  ?,2
Sorry.  I can't.  today go Chicago go get Salmon .,2
Let us go buy Guinness  two year prior. go Minneapolis  ?,1
Let's  go get Guaranito tomorrow   ?,2
Why not suspend  three  week go buy Keystone Light go Innsbruck  ?,0
nope  I have plans already.  hold up for  six day go buy Pizza Hut go Madrid .,0
of course not I'm busy...   nine  week in advance.  go Laredo .,1
Where do you want tomorrow    ?,2
Where should go get Bewley's  three day in advance.   ?,1
Let's  go Chicago go get Salmon suspend  six  week  ?,0
go where on Friday go Garland   ?,2
Would you Poultry tomorrow   ?,2
Where do you want Flowers go Tulsa on Monday  ?,2
nope I dont have time move to  twelve year go New York Domino .,0
Are you free at on Thursday    ?,2
When should we meet  go buy Baby-care today  ?,2
Where we Dry Goods go Ontario on Saturday  ?,2
Shall we postpone 8 year go Laredo   ?,0
Do you want go buy Sun-Pat go San Jose on Wednesday  ?,2
Great.  Bel Group tomorrow  .,2
When  on Sunday see Ice Age 1 go Prague  ?,2
How about   six month before. go get Budweiser go Saint Paul  ?,1
Let us go Wien 1  week prior. Olymel  ?,1
Why not  9  week early go San Diego  ?,1
You free    on Sunday  ?,2
OK   suspend 1 year .,0
Where should go Miami 2 year later Cross Colours  ?,0
"No..., I  I have an appointment.   go get Medicines late for 7  week .",0
Nah  I can't.  M&M Food Market  three year before.  .,1
what day go Scottsdale  to advance  seven month  ?,1
When should we meet go Springfield  on Sunday  ?,2
what day  go buy Brahma  four day earlier.  ?,1
Where  2 month in advance.   ?,1
"No..., I I dont have time to advance 9 month go get Hygiene products  .",1
 I dont have time  three day in advance. go Orlando go get Bewley's .,1
exactly   1 year later .,0
OK on Sunday go Rome go get Bacardi .,2
Want to   four year after   ?,0
When should we meet go Springfield on Wednesday   ?,2
Are you free at  three day ahead.  go get Knorr  ?,1
Yes    twelve day before. .,1
What time should we meet go Springfield on Thursday   ?,2
Why not suspend  nine day go Indianapolis go buy Avirex  ?,0
Great.    on Tuesday .,2
What time should we meet today    ?,2
yeah on Monday  Brooks Brothers .,2
That's right go Fullerton on Thursday  .,2
Let us   on Sunday  ?,2
Would you on Monday go Minneapolis   ?,2
When should we meet go Berna late for 1 month go buy Angels Jeanswear  ?,0
Where we go Fullerton  on Wednesday  ?,2
You free  on Wednesday go Prague go buy Snack foods  ?,2
Let's    ten year ahead. Baby-care  ?,1
When should we meet postpone  eleven  week    ?,0
Let us move to 6 month Olymel   ?,0
  I'll be out of town. to advance  ten year go Bakersfield go get Frozen foods .,1
Why not postpone 9  week  go Cincinnati  ?,0
Let us tomorrow    ?,2
Want to go Fremont  five  week advance. go buy Ground turkey  ?,1
Why not go Philadelphia  on Wednesday  ?,2
Are you busy  Granini the day after tomorrow   ?,2
agree  five day later Baby-care  .,0
No.  I'm busy...    2 year later .,0
Let us postpone  four day    ?,0
How about  go Bellevue Juicy Juice tomorrow  ?,2
of course not I'm busy...  go buy Mohito on Wednesday  .,2
Why not go buy Mohito on Wednesday   ?,2
don't I'm busy...  to advance 5 day go get Mustard go New Orleans .,1
You free 8 month before.  go New York  ?,1
Let's  hold up for  three  week go Lisbon   ?,0
Where do you want see Black Panther  the day after tomorrow  ?,2
When  to advance  four month go buy Healthtex   ?,1
Shall we  nine  week in advance. go Laredo go buy Mohito  ?,1
Are you free  go Bridgeport  eihgt day prior.   ?,1
what time   on Monday  ?,2
When  on Sunday go Fayetteville   ?,2
When  Medicines   nine  week prior.  ?,1
Where tomorrow  go Escondido  ?,2
Nice the day after tomorrow go Innsbruck  .,2
Would you hold up for  three year go Pittsburgh   ?,0
Would you  defer  eihgt year   ?,0
Would you  move to 9 year Dr. Oetker  ?,0
Let's  go Bridgeport delay for  6 month   ?,0
Want to  go Detroit on Wednesday  ?,2
Let us today go New York   ?,2
Are you busy   on Saturday go Quebec  ?,2
Are you busy  on Thursday  Canned Goods  ?,2
You free   5 month earlier.  ?,1
Are you free at  to advance 7 year go San Antonio  ?,1
Where should   ten month advance. go Nashville  ?,1
What location 1 month early  go get Merc Clothing  ?,1
no way  I'll be out of town. go buy Juicy Juice on Tuesday  .,2
How about  go get Cosmetics 4 month earlier. go Dallas  ?,1
Are you free at go get Bread go San Diego 4 day before.  ?,1
Where do you want   1  week prior.  ?,1
You free  go buy C&A move to  nine  week go Escondido  ?,0
How about  go Henderson go get House-cleaning products postpone  seven year  ?,0
What location to advance  four year    ?,1
Where 1 year later go Glendale   ?,0
Nah  I can't.  M&M Food Market hold up for  three  week go Valetta .,0
okay tomorrow   .,2
agree 2 year in advance. go get Heinz  .,1
You free   five year before.    ?,1
Are you busy    six year ahead.   ?,1
That's right  seven day before. Baskin robbins  .,1
go where Deep River Rock  on Saturday  ?,2
Sorry.  I dont have time late for 10  week go buy Bel Group go Jersey City .,0
what day Evian on Saturday go London  ?,2
don't I dont have time   1  week early .,1
Are you free   9 month after   ?,0
Why not 7  week early go buy Lee   ?,1
Where we meet  go Salt Lake City 6 month after  ?,0
agree  two day prior.   .,1
don't I can't.  on Monday go Zurich  .,2
Where we Moutai go Fort Lauderdale the day after tomorrow  ?,2
Why not on Monday    ?,2
Why not  go Glendale on Wednesday  ?,2
Where we go get House-cleaning products on Monday   ?,2
Ok.  see Chocolat to advance  two  week  .,1
Are you busy   the day after tomorrow go Colorado Springs  ?,2
Sorry.  I'm busy...   1 month advance. Bel Group .,1
Would you move to 9 year go New Orleans Dr. Oetker  ?,0
of course not I can't.  House-cleaning products tomorrow  .,2
Sure!  on Monday  see Transformers .,2
Nice Mataano go Innsbruck the day after tomorrow .,2
what time ?,2
Where we  go get Blue Moon postpone 5 year  ?,0
Would you  go Reno  twelve  week before.  ?,1
Sounds good.    on Wednesday .,2
You free go get Heinz hold up for  six year go Chicago  ?,0
Where do you want today    ?,2
Would you   suspend one year  ?,0
Sure!  go Jersey City postpone  seven day see Transformers .,0
Great.  suspend  nine  week Mustard go Anaheim .,0
You free  go Jersey City  nine month ahead.   ?,1
Are you busy  hold up for  five day go Innsbruck Granini  ?,0
what day today go Glendale   ?,2
Nice 4 month in advance. Personal hygiene  .,1
What place   twelve year ahead. go buy Sweets  ?,1
Where do you want on Monday  go Wien  ?,2
How about   defer  four year   ?,0
Yes  the day after tomorrow go Colorado Springs .,2
what time  go Bakersfield move to 6 year  ?,0
What time should we meet on Sunday    ?,2
Would you  to advance 9 month   ?,1
What day should we meet  suspend  six  week go get Salmon  ?,0
What day should we meet ?,2
How about  go Springfield  five month after   ?,0
Where we go Fullerton  five month advance.   ?,1
can't wait   nine year before.  .,1
what day  on Wednesday see Seven  ?,2
When should we meet tomorrow    ?,2
When  ?,2
What time should we meet ?,2
Are you free at Mohito  defer  eihgt month  ?,0
Shall we   8  week in advance.  ?,1
When  see Pretty Woman 4  week in advance. go St. Louis  ?,1
Yeah... late for 1  week   .,0
 I dont have time    three year later .,0
What time should we meet go get Grolsch the day after tomorrow go Tulsa  ?,2
What place go get Medicines on Tuesday go San Antonio  ?,2
What day should we meet go Laredo on Wednesday   ?,2
Do you want  on Saturday Eggs  ?,2
alright  on Sunday  .,2
That's right   postpone  eleven day .,0
Are you busy  Ex-Boyfriend on Saturday go Moreno Valley  ?,2
no I'm busy...  go buy Brahma  on Tuesday .,2
What time should we meet 10 day earlier.  go buy Diet foods  ?,1
OK!  see Black Panther  the day after tomorrow .,2
OK hold up for 8 day   .,0
Do you want go buy Dunkin' Donuts defer 9 month   ?,0
When should we meet   the day after tomorrow  ?,2
Would you  go Oakland  eleven month before.  ?,1
don't I can't.   on Wednesday  .,2
What place go buy Loyandford on Saturday   ?,2
You free  see Blood Diamond  eleven month before.  ?,1
Do you want 9 year early go Sacramento   ?,1
Yep  on Saturday go Quebec .,2
Do you want  Hamilton Shirts postpone 4  week  ?,0
what time go get Edelweiss  on Thursday  ?,2
Sounds good.  Prigat  postpone  three day .,0
what time   seven  week early Granini  ?,1
Let us  on Saturday go Quebec  ?,2
exactly go Springfield go buy DKNY 5 month earlier. .,1
Do you want  9 year early Heinz  ?,1
Let us   five  week later   ?,0
Of course  go Ontario defer 1 month .,0
Why not  on Saturday go Fullerton  ?,2
what time  ten month advance.    ?,1
Do you want defer 10 year  Canned Goods  ?,0
Where go get McDonald's   seven day before.  ?,1
Let us on Monday go Wien Olymel  ?,2
Do you want on Sunday go Anaheim go get Andy Capp's fries  ?,2
What location Baby food go Philadelphia 2 month ahead.  ?,1
You free go Kansas City   four year early  ?,1
Are you busy  today go Chicago go get Salmon  ?,2
What location today  go buy Kits  ?,2
Let us    eihgt month after  ?,0
Yes   two  week in advance.  .,1
 I dont have time on Sunday   .,2
Why not  one day earlier. go Glendale  ?,1
Of course  go Miami 8 month in advance. .,1
What time should we meet the day after tomorrow go Fort Lauderdale   ?,2
Are you free at on Saturday go buy Strongbow   ?,2
go where 5 month early go Ontario SABA  ?,1
Let us hold up for  six day go buy Pizza Hut go Madrid  ?,0
Where do you want to advance 2 month    ?,1
Are you free   go Oakland late for  eihgt year  ?,0
