text,labels
no way'm busy. ,"[0, 1, 0, 0, 1]"
'm busy. ,"[0, 1, 0, 0, 1]"
"Sorry, I'm busy... ","[0, 1, 0, 0, 1]"
Sorry. 'm busy. ,"[0, 1, 0, 0, 1]"
Let's see a game the zoo on Tuesday?,"[1, 1, 1, 1, 0]"
can't wait,"[0, 0, 0, 0, 1]"
"Yo, what's up?","[0, 0, 0, 0, 0]"
Would you want to go bowling on Tuesday?,"[1, 1, 1, 0, 0]"
 can't. ,"[0, 1, 0, 0, 1]"
Sorry. 'll be out of town. ,"[0, 1, 0, 0, 1]"
Would you want to go surfing a bar?,"[1, 1, 0, 1, 0]"
No. 'm busy. ,"[0, 1, 0, 0, 1]"
Would you want to go somewhere?,"[1, 1, 0, 0, 0]"
Sorry.  have plans already. on Saturday,"[0, 1, 0, 0, 1]"
Hey! ,"[0, 0, 0, 0, 0]"
What day? today?,"[0, 0, 1, 0, 0]"
yeah,"[0, 0, 0, 0, 1]"
How about see a play?,"[0, 1, 0, 0, 0]"
alright,"[0, 0, 0, 0, 1]"
Would you want to go somewhere your place?,"[1, 1, 0, 1, 0]"
Do you want to go somewhere Daan Park?,"[1, 1, 0, 1, 0]"
"Sorry, I'm busy. ","[0, 1, 0, 0, 1]"
Would you want to go to a party the mall on Monday?,"[1, 1, 1, 1, 0]"
When should we meet? on Saturday?,"[0, 0, 1, 0, 0]"
Let's go somewhere?,"[1, 1, 0, 0, 0]"
of course not can't. ,"[0, 1, 0, 0, 1]"
Good,"[0, 0, 0, 0, 1]"
No. ,"[0, 0, 0, 0, 1]"
Why not on Monday?,"[0, 0, 1, 0, 0]"
Where should we meet? a club?,"[0, 0, 0, 1, 0]"
No. 'm busy... go surfing,"[0, 1, 0, 0, 1]"
Nah  have an appointment. ,"[0, 1, 0, 0, 1]"
Let's do Daan Park?,"[0, 0, 0, 1, 0]"
Where do you want to go? the Japanese place?,"[0, 0, 0, 1, 0]"
Let's see a movie the mall?,"[1, 1, 0, 1, 0]"
OK,"[0, 0, 0, 0, 1]"
Let's hang out on Tuesday?,"[1, 1, 1, 0, 0]"
I prefer a coffee shop?,"[0, 0, 0, 1, 0]"
Ok. ,"[0, 0, 0, 0, 1]"
Where should we go? the zoo?,"[0, 0, 0, 1, 0]"
No. 'm busy... ,"[0, 1, 0, 0, 1]"
Sounds good. ,"[0, 0, 0, 0, 1]"
Do you want to hang out on Monday?,"[1, 1, 1, 0, 0]"
Let's catch up?,"[1, 1, 0, 0, 0]"
Yup,"[0, 0, 0, 0, 1]"
Would you want to go surfing train station on Friday?,"[1, 1, 1, 1, 0]"
Are you free at tomorrow?,"[0, 0, 1, 0, 0]"
How about on Thursday?,"[0, 0, 1, 0, 0]"
No. 'm busy... see a play,"[0, 1, 0, 0, 1]"
I prefer the theme park?,"[0, 0, 0, 1, 0]"
Nah ,"[0, 0, 0, 0, 1]"
You free on Wednesday?,"[0, 0, 1, 0, 0]"
What day? on Saturday?,"[0, 0, 1, 0, 0]"
"No..., I have plans already. ","[0, 1, 0, 0, 1]"
Great. ,"[0, 0, 0, 0, 1]"
Where? the theme park?,"[0, 0, 0, 1, 0]"
Do you want to go ice skating on Thursday?,"[1, 1, 1, 0, 0]"
Let's do something a coffee shop?,"[1, 1, 0, 1, 0]"
not can't. ,"[0, 1, 0, 0, 1]"
"Sorry, I'll be out of town. watch a movie","[0, 1, 0, 0, 1]"
Sorry. 'm busy... go swimming,"[0, 1, 0, 0, 1]"
How about catch up?,"[0, 1, 0, 0, 0]"
Do you want to see a game on Saturday?,"[1, 1, 1, 0, 0]"
How about go bowling?,"[0, 1, 0, 0, 0]"
Do you want to see a concert your place?,"[1, 1, 0, 1, 0]"
Where? the train station?,"[0, 0, 0, 1, 0]"
"No..., I'll be out of town. on Sunday","[0, 1, 0, 0, 1]"
Would you want to do something the mall on Sunday?,"[1, 1, 1, 1, 0]"
"No..., I","[0, 0, 0, 0, 1]"
Nice,"[0, 0, 0, 0, 1]"
Would you want to see a concert a bar today?,"[1, 1, 1, 1, 0]"
How about on Wednesday?,"[0, 0, 1, 0, 0]"
Would you want to see a concert Xinyi today?,"[1, 1, 1, 1, 0]"
How about hang out?,"[0, 1, 0, 0, 0]"
Would you want to see a concert the Japanese place?,"[1, 1, 0, 1, 0]"
"Hey, how are you doing?","[0, 0, 0, 0, 0]"
No.  can't. ,"[0, 1, 0, 0, 1]"
When? on Friday?,"[0, 0, 1, 0, 0]"
Would you want to go ice skating?,"[1, 1, 0, 0, 0]"
Yeah...,"[0, 0, 0, 0, 1]"
How about bake?,"[0, 1, 0, 0, 0]"
How about see a movie?,"[0, 1, 0, 0, 0]"
Would you want to hang out today?,"[1, 1, 1, 0, 0]"
Nah  have plans already. tomorrow,"[0, 1, 0, 0, 1]"
No. 'll be out of town. ,"[0, 1, 0, 0, 1]"
k,"[0, 0, 0, 0, 1]"
of course,"[0, 0, 0, 0, 1]"
Sorry. ,"[0, 0, 0, 0, 1]"
Do you want to see a play the theme park?,"[1, 1, 0, 1, 0]"
How about do something?,"[0, 1, 0, 0, 0]"
Would you want to go rafting?,"[1, 1, 0, 0, 0]"
I prefer Daan Park?,"[0, 0, 0, 1, 0]"
Would you want to see a concert a club?,"[1, 1, 0, 1, 0]"
not'm busy. ,"[0, 1, 0, 0, 1]"
Where should we go? school?,"[0, 0, 0, 1, 0]"
Let's go surfing a bar?,"[1, 1, 0, 1, 0]"
"Sorry, I'll be out of town. see a play","[0, 1, 0, 0, 1]"
Nah 'm busy... tomorrow,"[0, 1, 0, 0, 1]"
You free on Sunday?,"[0, 0, 1, 0, 0]"
"Sorry, I can't. ","[0, 1, 0, 0, 1]"
Would you want to bake a bar on Monday?,"[1, 1, 1, 1, 0]"
Let's grab coffee today?,"[1, 1, 1, 0, 0]"
Are you busy on Thursday?,"[0, 0, 1, 0, 0]"
Yep,"[0, 0, 0, 0, 1]"
How about today?,"[0, 0, 1, 0, 0]"
Let's hang out Daan Park?,"[1, 1, 0, 1, 0]"
When? on Wednesday?,"[0, 0, 1, 0, 0]"
That's right,"[0, 0, 0, 0, 1]"
No. 'll be out of town. hang out,"[0, 1, 0, 0, 1]"
Would you want to go to a party on Monday?,"[1, 1, 1, 0, 0]"
Let's see a game?,"[1, 1, 0, 0, 0]"
How about go to a party?,"[0, 1, 0, 0, 0]"
Would you want to go bowling a bar?,"[1, 1, 0, 1, 0]"
Nah 'm busy... on Thursday,"[0, 1, 0, 0, 1]"
Do you want to go somewhere the train station?,"[1, 1, 0, 1, 0]"
No.  have an appointment. ,"[0, 1, 0, 0, 1]"
no'm busy. ,"[0, 1, 0, 0, 1]"
Are you free at on Friday?,"[0, 0, 1, 0, 0]"
