text,labels
Sure. ,1
Nah  have plans already. ,0
yeah,1
"Sorry, I have an appointment. ",0
No. 'm busy. ,0
No. ,0
Sorry. 'm busy... ,0
Nah  have plans already. ,0
Nah 'm busy... ,0
Nah  can't. ,0
Sorry. ,0
no way can't. ,0
"Sorry, I have an appointment. ",0
Sure! ,1
Nah 'm busy... ,0
"Sorry, I'm busy... ",0
"Sorry, I can't. ",0
No. ,0
"No..., I",0
not'm busy. ,0
"Sorry, I'm busy... ",0
Sounds good. ,1
Nah 'm busy... on Tuesday,0
of course not'm busy. ,0
Sorry. ,0
Sorry. 'm busy... watch a movie,0
exactly,1
OK,1
k,1
Ok. ,1
"No..., I'm busy. ",0
Yes,1
That's right,1
not'm busy. ,0
Sounds good. ,1
Good,1
"No..., I'm busy... see a play",0
not can't. ,0
no way can't. ,0
Of course,1
Sorry. 'm busy. ,0
"No..., I have an appointment. ",0
reject can't. ,0
Sorry. ,0
Sorry.  have an appointment. ,0
Of course,1
'm busy. ,0
Sorry.  have plans already. on Monday,0
nope'm busy. ,0
Nah  have an appointment. ,0
"Sorry, I have an appointment. ",0
"No..., I have plans already. bake",0
Great. ,1
"No..., I'm busy... ",0
k,1
not have an appointment. ,0
"No..., I",0
"No..., I'll be out of town. see a movie",0
"No..., I'll be out of town. ",0
Good,1
Good,1
"No..., I",0
"No..., I can't. ",0
Sorry.  have plans already. ,0
"Sorry, I",0
No.  have plans already. ,0
Sure. ,1
Sounds good. ,1
no way can't. ,0
yeah,1
"Sorry, I'll be out of town. ",0
Yup,1
Ok. ,1
Nice,1
Yup,1
'm busy. ,0
Yeah...,1
Sounds good. ,1
not have an appointment. ,0
of course not have an appointment. ,0
Great. ,1
No. 'm busy. ,0
Of course,1
"No..., I have an appointment. ",0
of course not can't. ,0
Yeah...,1
Sorry.  have plans already. today,0
No. ,0
"No..., I",0
of course,1
reject have an appointment. ,0
no'm busy. ,0
Yup,1
No. 'm busy... ,0
no have an appointment. ,0
reject can't. ,0
"Sorry, I have an appointment. ",0
reject have an appointment. ,0
Yep,1
k,1
No. 'll be out of town. ,0
Nah 'm busy. ,0
Nah  have plans already. go swimming,0
